Kr,Rs,Ar,Vf (%),k,k_egv,k_mean,k_std,k_max,k_min
5,10000,5,10,"[[0.13328101900735, 0.0025627802007534, -0.0013925958630781], [0.0025627802007534, 0.13686693543583, 0.0031181652456113], [-0.0013925958630781, 0.0031181652456113, 0.14020924210127]]","[0.13110148787022521, 0.13717792386099886, 0.14207778481322603]",0.136785732181483,0.00549864841396,0.142077784813226,0.131101487870225
5,10000,6,10,"[[0.13375706988782, 0.0021167024481359, -0.0021315691848576], [0.0021167024481359, 0.13894431794232, 0.0032601532930671], [-0.0021315691848576, 0.0032601532930671, 0.13950508108496]]","[0.13165834157652473, 0.13804860522690962, 0.14249952211166564]",0.137402156305033,0.005449423914996,0.142499522111666,0.131658341576525
5,10000,1,15,"[[0.14778562862976, -0.0006787876326425, -0.0019381346407414], [-0.0006787876326425, 0.14653932726488, 0.0011554516600043], [-0.0019381346407414, 0.0011554516600043, 0.14589339329089]]","[0.1494880930523755, 0.1462657291868618, 0.14446452694629264]",0.14673944972851,0.002545066299575,0.149488093052376,0.144464526946293
5,10000,2,15,"[[0.14673077326049, -0.0013965811910047, -0.0007645569146877], [-0.0013965811910047, 0.14909647332636, 0.0010055216010231], [-0.0007645569146877, 0.0010055216010231, 0.15169637792879]]","[0.14606937052485156, 0.15230299922590684, 0.14915125476488153]",0.149174541505213,0.003116879593417,0.152302999225907,0.146069370524852
5,10000,3,15,"[[0.15259853988152, -0.001614285589598, -0.0012808630827861], [-0.001614285589598, 0.15332310813012, 0.0007059128033132], [-0.0012808630827861, 0.0007059128033132, 0.15415962272337]]","[0.15578752304940977, 0.15117887516127557, 0.1531148725243248]",0.153360423578337,0.002314115452888,0.15578752304941,0.151178875161276
5,10000,4,15,"[[0.15623788136105, -0.0005845367046173, -0.0036203318165467], [-0.0005845367046173, 0.15988179447592, 0.0012805826445794], [-0.0036203318165467, 0.0012805826445794, 0.15542158243651]]","[0.1521439062015107, 0.15839361480888153, 0.16100373726308778]",0.157180419424493,0.004552805057374,0.161003737263088,0.152143906201511
5,10000,5,15,"[[0.1551602393694, 0.0021313861578306, -0.0033564781967381], [0.0021313861578306, 0.16077087170141, 0.0023558975361957], [-0.0033564781967381, 0.0023558975361957, 0.16076934893109]]","[0.1525301589635638, 0.1608949392953602, 0.1632753617429759]",0.158900153333967,0.005643511669741,0.163275361742976,0.152530158963564
5,10000,6,15,"[[0.15447499282834, 0.0029231669280933, -0.0056520664166383], [0.0029231669280933, 0.1631299285093, 0.002598925472544], [-0.0056520664166383, 0.002598925472544, 0.16167149308698]]","[0.15024042702283621, 0.1636426099108573, 0.16539337749092656]",0.159758804808207,0.008289507435827,0.165393377490927,0.150240427022836
5,10000,1,20,"[[0.16959206664739, -0.0008625628950713, -0.0030532788154873], [-0.0008625628950713, 0.16737752474943, 0.001109245455517], [-0.0030532788154873, 0.001109245455517, 0.16807894075779]]","[0.1723555654290951, 0.16561058185731545, 0.16708238486819943]",0.168349510718203,0.003546534475471,0.172355565429095,0.165610581857315
5,10000,2,20,"[[0.1681204724304, -0.0009891554540814, 0.0001566518007018], [-0.0009891554540814, 0.17170700957395, 0.0025086676712148], [0.0001566518007018, 0.0025086676712148, 0.17567418189788]]","[0.16777332544455975, 0.17082987177193712, 0.17689846668573314]",0.17183388796741,0.004644683741486,0.176898466685733,0.16777332544456
5,10000,3,20,"[[0.17367688015976, -0.0016406281807419, -0.0023420040366786], [-0.0016406281807419, 0.17918914715426, 0.0032882575995359], [-0.0023420040366786, 0.0032882575995359, 0.17850132161714]]","[0.18299011956486202, 0.1727089671431795, 0.1756682622231183]",0.17712244964372,0.005292591007261,0.182990119564862,0.172708967143179
5,10000,4,20,"[[0.18178380099466, 0.0017665126527705, -0.0071012279915375], [0.0017665126527705, 0.18210611402721, -1.4948773523504e-05], [-0.0071012279915375, -1.4948773523504e-05, 0.17923507127474]]","[0.1731521439776175, 0.18804234270527528, 0.18193049961371704]",0.18104166209887,0.007484786478794,0.188042342705275,0.173152143977617
5,10000,5,20,"[[0.18324685235716, 0.0060226354703424, -0.0063567153690372], [0.0060226354703424, 0.18673611633207, 0.0027227904169852], [-0.0063567153690372, 0.0027227904169852, 0.18250920714738]]","[0.17357985254607008, 0.1917303940890297, 0.18718192920151017]",0.184164058612203,0.009444109102823,0.19173039408903,0.17357985254607
5,10000,6,20,"[[0.1827405481825, 0.004453866593021, -0.0082064843225515], [0.004453866593021, 0.18823158025121, 0.0058744904488037], [-0.0082064843225515, 0.0058744904488037, 0.18434718035214]]","[0.172037495969537, 0.19038980258746674, 0.19289201022884622]",0.18510643626195,0.01138697330484,0.192892010228846,0.172037495969537
5,10000,1,25,"[[0.19384061376936, 0.0008105069837918, -0.0037507110303685], [0.0008105069837918, 0.19249346445992, 0.0015340046331523], [-0.0037507110303685, 0.0015340046331523, 0.19223740323192]]","[0.18847921771254325, 0.19690218007490046, 0.19319008367375615]",0.192857160487067,0.004221338902007,0.1969021800749,0.188479217712543
5,10000,2,25,"[[0.19264393548238, -0.0018603367731697, 0.0019376043168573], [-0.0018603367731697, 0.196227581039, 0.0024077638526213], [0.0019376043168573, 0.0024077638526213, 0.19893502130703]]","[0.1908882764789146, 0.1964931795209704, 0.20042508182852486]",0.19593551260947,0.004792797550202,0.200425081828525,0.190888276478915
5,10000,3,25,"[[0.1994612756848, 0.0007897171770344, -0.0021827919630372], [0.0007897171770344, 0.20691547618076, 0.0050098542718774], [-0.0021827919630372, 0.0050098542718774, 0.20485248706744]]","[0.1978000118005566, 0.20237742586754226, 0.21105180126490128]",0.203743079644333,0.006730619487118,0.211051801264901,0.197800011800557
